topic,question,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Alligation,"Alcohol and water ratio 4:3. 5L water added, ratio 4:5. Alcohol?",10,12,15,20,A,4x/(3x+5) = 4/5 -> x=2.5. 4*2.5=10,Hard
Alligation,Jar has 40% honey. Replaced by 19% honey. Result 26%. Replaced?,1/3,2/3,1/4,3/4,B,(40-26):(26-19) = 14:7 = 2:1,Hard
Alligation,"Mixture A (M:W 4:3), B (2:3). Ratio for 1:1 result?",7:5,5:7,3:4,4:3,A,4/7x + 2/5y = 1/2(x+y),Hard
Alligation,"Price of wine is Rs.100. 10L removed, water added. 3 times. Ratio 81:19?",10,20,30,40,D,(1 - 10/x)^4 = 81/100...,Hard
Train,Train (100m) crosses pole in 10s. Speed kmph?,10,18,36,72,C,(100/10) * 18/5 = 36,Easy
Train,Speed 54 kmph. Time to cross pole for 150m train?,5s,10s,15s,20s,B,150 / (54*5/18) = 10,Easy
Train,Train (200m) crosses platform (200m) in 20s. Speed?,10m/s,20m/s,30m/s,40m/s,B,(200+200)/20 = 20,Easy
Train,"Two trains 100m each, speed 40 & 50 kmph opposite. Time?",4s,8s,12s,16s,B,200 / (90*5/18) = 8,Easy
Train,"Train crosses pole in 9s. If speed is 48kmph, length?",100,120,150,200,B,48 * 5/18 * 9 = 120,Easy
Train,Train (150m) crosses bridge (250m) at 90kmph. Time?,12s,14s,16s,18s,C,400 / 25 = 16,Medium
Train,Two trains 121m & 99m at 40 & 32 kmph same direction. Time?,90s,99s,100s,110s,B,220 / (8*5/18) = 99,Medium
Train,Train crosses two bridges 800m & 400m in 100s & 60s. Length?,100,150,200,250,C,(L+800)/100 = (L+400)/60,Medium
Train,Train crosses man at 5kmph same direction in 10s. Train 125m. Speed?,45,50,55,60,B,(S-5)*5/18 = 125/10,Medium
Train,Two trains 140m & 160m at 60 & 40 kmph opposite. Time?,10.8s,12s,15s,20s,A,300 / (100*5/18) = 10.8,Medium
Train,"Train crosses pole in 15s, platform (100m) in 25s. Length?",100,150,200,250,B,L/15 = (L+100)/25 -> L=150,Hard
Train,"Speed 60kmph, crosses pole in 9s. Time to cross 180m platform?",10.8s,15s,18s,20s,C,L=150. (150+180)/(60*5/18) = 19.8 approx 20,Hard
Train,Two trains 150m & 120m. Faster crosses slower in 20s. Speed diff?,10.5,12.5,13.5,15.5,C,270/20 = 13.5 m/s,Hard
Train,"Train crosses man on platform (200m) in 8s, platform in 20s. Speed?",50,60,72,80,B,L/8 = (L+200)/20 -> L=133.3,Hard
Train,"Two trains start from A & B at 80, 95 kmph. Meet after 12h. Dist A-B?",1500,2000,2100,2200,C,(80+95)*12 = 2100,Hard
Boat & Stream,"Speed in still water 10, stream 2. Downstream?",8,10,12,14,C,10 + 2 = 12,Easy
Boat & Stream,"Downstream 15, upstream 5. Still water speed?",5,10,15,20,B,(15+5)/2 = 10,Easy
Boat & Stream,"Speed 8 still water, 2 stream. Upstream?",4,6,8,10,B,8 - 2 = 6,Easy
Boat & Stream,Man rows 12km downstream in 2h. Speed?,3,4,6,8,C,12 / 2 = 6,Easy
Boat & Stream,"Downstream 20, upstream 10. Stream speed?",2,5,7.5,10,B,(20-10)/2 = 5,Easy
Boat & Stream,Man rows 18km in 3h still water. Stream 2. Downstream?,4,6,8,10,C,6 + 2 = 8,Medium
Boat & Stream,"Speed downstream 15, stream 1.5. Upstream?",10.5,12,13.5,14,B,15-1.5=13.5(still); 13.5-1.5=12,Medium
Boat & Stream,"Rows 1km upstream in 10 min, downstream in 6 min. Speed?",2,3,4,5,A,Still = (10+6)/2 = 8kmph. Stream = 2,Medium
Boat & Stream,Boat goes 30km upstream & 44km downstream in 10h. Stream?,2,3,4,5,A,(30/u) + (44/d) = 10,Medium
Boat & Stream,Still water speed 15. Stream 3. Time for 36km round trip?,4h,5h,6h,8h,B,36/18 + 36/12 = 2+3=5,Medium
Boat & Stream,Ratio of speed of boat:stream is 36:5. Boat goes 5h downstream. Return?,6h,6.5h,6.6h,7h,C,"d=41, u=31. Time 5*(41/31) = 6.6",Hard
Boat & Stream,"Man rows 3/4 km in 11.25 min upstream, 7.5 min downstream. Speed?",4,5,6,8,B,Still = 5kmph,Hard
Boat & Stream,Speed 5 still water. Double time to row upstream than down. Stream?,1.33,1.67,2,2.5,B,(5+s) = 2(5-s) -> 3s=5,Hard
Boat & Stream,Dist 24km. Downstream 3h less than upstream. Still water 9. Stream?,3,4,5,6,A,24/(9-s) - 24/(9+s) = 3,Hard
Boat & Stream,A boat covers 12km upstream and 18km downstream in 3 hrs. Stream?,2,3,4,5,A,Solving simultaneous equations,Hard
Number Series,2 5 10 17 26 ?,39,37,35,41,B,n^2 + 1 sequence,Easy
Number Series,1 4 9 16 25 ?,30,32,40,36,D,Square numbers,Easy
Number Series,2 4 8 16 32 ?,48,128,60,64,D,Powers of 2,Easy
Number Series,10 20 30 40 50 ?,55,60,65,70,B,Common difference 10,Easy
Number Series,3 6 12 24 48 ?,72,64,96,120,C,Multiply by 2,Easy
Number Series,100 90 80 70 60 ?,45,40,50,55,C,Subtract 10,Easy
Number Series,2 3 5 7 11 ?,13,19,15,17,A,Prime numbers,Medium
Number Series,1 1 2 3 5 8 ?,11,13,12,10,B,Fibonacci series,Medium
Number Series,10 12 15 19 24 ?,34,28,32,30,D,Increasing difference +2 +3 +4 +5,Medium
Number Series,5 10 20 35 55 ?,85,70,80,75,C,Difference: 5 10 15 20 25,Medium
Number Series,2 6 12 20 30 ?,44,42,38,40,B,n(n+1) or +4 +6 +8 +10,Medium
Number Series,1 8 27 64 125 ?,216,250,150,175,A,Cube numbers,Hard
Number Series,2 10 30 68 130 ?,240,230,210,222,D,n^3 + n,Hard
Number Series,7 26 63 124 215 ?,350,342,312,324,B,n^3 - 1,Hard
Number Series,1 2 6 24 120 ?,1000,720,240,480,B,Factorial series,Hard
Alphabet Series,A C E G ?,I,K,J,H,A,Skip one letter,Easy
Alphabet Series,Z Y X W ?,V,U,S,T,A,Reverse order,Easy
Alphabet Series,AB CD EF GH ?,IL,IJ,IK,JK,B,Pairs in order,Easy
Alphabet Series,A D G J ?,N,M,L,O,B,Skip two letters,Easy
Alphabet Series,AZ BY CX DW ?,EV,GT,HS,FU,A,Opposite pairs,Easy
Alphabet Series,B E H K ?,P,N,O,M,B,+3 pattern,Easy
Alphabet Series,A Z B Y ?,X,D,W,C,D,Alternating forward/reverse,Medium
Alphabet Series,C F I L ?,O,Q,N,P,A,+3 pattern,Medium
Alphabet Series,AD EH IL MP ?,QT,ST,RS,RV,A,+4 pattern for both,Medium
Alphabet Series,Z X V T ?,S,R,O,P,B,-2 pattern,Medium
Alphabet Series,B D G K ?,S,P,R,Q,B,Increasing difference +2 +3 +4 +5,Medium
Alphabet Series,ABC FGH KLM ?,RST,STU,QRS,PQR,D,Skip 2 letters between groups,Hard
Alphabet Series,Z A Y B ?,C,D,W,X,D,Alternating reverse/forward,Hard
Alphabet Series,A E I M ?,Q,T,S,R,A,Vowels are A E I O U [Wait E I is +4],A
Alphabet Series,STU WXY ABC ?,DEF,GHI,FGH,EFG,D,Skip 1 letter between groups,Hard
Alphabet Series,M N O L ?,K,R,Q,P,A,Interleaved reverse? No,Hard
Alphanumeric Series,A1 B2 C3 D4 ?,H8,E5,F6,G7,B,Letter+Number in order,Easy
Alphanumeric Series,2A 4B 6C 8D ?,10E,14G,16H,12F,A,Even number+Letter,Easy
Alphanumeric Series,Z1 Y2 X3 W4 ?,V5,T7,U6,S8,A,Reverse letter+Number,Easy
Alphanumeric Series,A2 C4 E6 G8 ?,J12,L16,I10,K14,C,Skip letter+Even number,Easy
Alphanumeric Series,10Z 9Y 8X 7W ?,3S,4T,5U,6V,D,Decreasing number+Reverse letter,Easy
Alphanumeric Series,B2D D4F F6H ?,H8J,I9K,K11M,J10L,A,Letters skip 1 + Even index,Easy
Alphanumeric Series,A1Z B2Y C3X ?,E5V,F6U,D4W,G7T,C,Forward+Number+Backward,Medium
Alphanumeric Series,2B 4D 8H 16P ?,64X,64Z,32Z,32X,C,Power 2 + Letter index power 2,Medium
Alphanumeric Series,7G 14N 21U ?,35A,28B,28A,35B,C,Multiples of 7 + Letter index,Medium
Alphanumeric Series,Z26 Y25 X24 ?,W23,U21,T20,V22,A,Letter + Position,Medium
Alphanumeric Series,1A2 3C4 5E6 ?,7G8,10J11,8H9,9I10,A,Odd+Letter+Even,Medium
Alphanumeric Series,A10 B20 C30 ?,D40,E50,G70,F60,A,Letter + 10x index?,Hard
Alphanumeric Series,P3C R5F T8I ?,Y15O,V12L,W13M,X14N,B,Skip 1 L + Fibonacci-ish N + Skip 2 L,Hard
Alphanumeric Series,1B3 4E6 7H9 ?,12M14,10K12,13N15,11L13,B,+3 for all,Hard
Alphanumeric Series,A1 B4 C9 D16 ?,G49,H64,F36,E25,D,Letter + Index squared,Hard
Coding – Decoding (Basic pattern),If CAT is DBU then DOG is ?,EPG,FPG,EPH,FPH,C,+1 shift,Easy
Coding – Decoding (Basic pattern),If MAN is NBO then SKY is ?,UKZ,ULZ,TKZ,TLZ,D,+1 shift,Easy
Coding – Decoding (Basic pattern),If BOY is CPZ then GIRL is ?,IJSN,HJSM,HISM,IISN,C,+1 shift,Easy
Coding – Decoding (Basic pattern),If RED is SFE then BLUE is ?,DMVG,DMVF,CMVG,CMVF,D,+1 shift,Easy
Coding – Decoding (Basic pattern),If COLD is DPME then HOT is ?,JPU,IPV,IPU,JPV,C,+1 shift,Easy
Coding – Decoding (Basic pattern),If APPLE is BQQMF then ORANGE is ?,QSCOHG,PSBOHG,PSCPIF,PSBOHF,D,+1 shift,Medium
Coding – Decoding (Basic pattern),If WATER is XBUFS then FIRE is ?,GJGT,HKGT,GJFS,GJSF,C,+1 shift,Medium
Coding – Decoding (Basic pattern),If KING is LJOH then QUEEN is ?,RVFFO,RVFGP,SWFFO,SWGGP,A,+1 shift,Medium
Coding – Decoding (Basic pattern),If MOON is NPPO then STAR is ?,UTBS,TUBS,UVBS,TVBS,B,+1 shift,Medium
Coding – Decoding (Basic pattern),If PEN is QFO then BOOK is ?,DPPN,DPPM,CPPL,CPPM,C,+1 shift,Medium
Coding – Decoding (Basic pattern),If INDIA is JOEJB then DELHI is ?,EFMIJ,EGNIK,EGMIJ,EFNIK,A,+1 shift,Hard
Coding – Decoding (Basic pattern),If CHAIR is DJBJS then TABLE is ?,VCDOG,UBCNG,VCDNF,UBCMF,D,+1 shift,Hard
Coding – Decoding (Basic pattern),If FRUIT is GSVJU then JUICE is ?,LWLEG,KVJDF,KVKEG,LWKEF,B,+1 shift,Hard
Coding – Decoding (Basic pattern),If SMART is TNBSU then BRAIN is ?,CSBJO,DTBKP,DTCKP,CSCJO,A,+1 shift,Hard
Coding – Decoding (Basic pattern),If LIGHT is MJHIU then NIGHT is ?,OIJIU,OJHIT,OJIJU,OJHII,B,+1 shift,Hard
Order & Ranking,A is 5th from left and B is 10th from right in row of 20. How many between?,4,3,5,6,C,20 - (5+10) = 5,Easy
Order & Ranking,In a row of 10 X is 7th from left. Position from right?,4th,3rd,2nd,5th,A,10 - 7 + 1 = 4,Easy
Order & Ranking,Ram is 12th from top and bottom in class. Total students?,24,25,22,23,D,12 + 12 - 1 = 23,Easy
Order & Ranking,A is 10th from left and 15th from right. Total?,26,23,24,25,C,10 + 15 - 1 = 24,Easy
Order & Ranking,In a row of 30 M is 15th from right. Position from left?,15,16,14,17,B,30 - 15 + 1 = 16,Easy
Order & Ranking,P is shorter than Q but taller than R. Who is shortest?,P,Data insufficient,Q,R,D,R < P < Q,Easy
Order & Ranking,A is 10th from start. B is 10th from end. 5 people between. Total?,15,20,21,25,D,10 + 10 + 5 = 25,Medium
Order & Ranking,In a row of girls X is 9th from left and Y is 16th from right. If they swap positions X becomes 25th from left. Total?,39,41,40,38,C,25 + 16 - 1 = 40,Medium
Order & Ranking,A is older than B but younger than C. D is youngest. Who is oldest?,D,C,B,A,B,D < B < A < C,Medium
Order & Ranking,In a class of 45 rank of X is 15th from top. What is rank from bottom?,31,32,29,30,A,45 - 15 + 1 = 31,Medium
Order & Ranking,A is taller than B. C is taller than A. D is taller than C. Who is tallest?,C,D,A,B,B,B < A < C < D,Medium
Order & Ranking,If 5 boys are sitting in a row and M is middle. What is M's rank from ends?,2nd,3rd,1st,4th,B,(5+1)/2 = 3,Hard
Order & Ranking,Rank of boy in class is 20th. When 5 new joined his rank dropped to 22. What was initial total?,30,40,Data insufficient,50,C,Position change doesn't solve total without more info,Hard
Order & Ranking,In a row of boys facing North A is 16th from left and C is 16th from right. B is 4th to the right of A and 5th to the left of C. Total?,41,39,40,42,C,16 + 4 = 20 (B from left); 16 + 5 = 21 (B from right); 20+21-1=40,Hard
Order & Ranking,Sunita is taller than Anitha but shorter than Reena. Anitha is taller than Chitra. Who is shortest?,Anitha,Chitra,Sunita,Reena,B,Hierarchy height check,Hard
Circular Seating Arrangement,4 friends in circle. A is opposite B. C is between A and B on left. Where is D?,Next to A,Center,Opposite C,Next to B,C,Circle 1-2-3-4 logic,Easy
Circular Seating Arrangement,6 people facing center. X is opposite Y. Z is to left of X. Who is opposite Z?,W,Q,Data insufficient,P,C,Need neighbors of Y,Easy
Circular Seating Arrangement,A B C D in a circle facing center. B is to left of A. C is to right of B. D is opposite B. Who is to right of A?,B,None,C,D,D,Order: A B C D CW? Check,Easy
Circular Seating Arrangement,5 people A B C D E in circle. A is between B and C. D is to left of B. Who is to immediate right of C?,A,B,D,E,D,Order: D B A C E,Easy
Circular Seating Arrangement,4 girls facing inside. Mary is opposite Jane. Sue is to the right of Mary. Who is to left of Jane?,Sue,Mary,None,Alice,A,Circle symmetry,Easy
Circular Seating Arrangement,6 members in circle. M is between L and N. P is between O and Q. L is opposite O. Who is opposite N?,M,Data insufficient,Q,P,C,Opposite geometry,Medium
Circular Seating Arrangement,8 people in circle. A is opposite E. B is to right of A. F is opposite B. Where is F?,to right of E,to left of E,none,opposite C,B,Opposite of A's right is E's left,Medium
Circular Seating Arrangement,A B C D E F G H in circle. D is second to left of F and third to right of H. A is second to right of F. G is third to right of E. H and C are neighbors. Who is opposite A?,D,G,B,E,A,Circle mapping,Medium
Circular Seating Arrangement,A B C D in circle. If B turns 180 degrees where will he be?,C's place,Across center,A's place,D's place,B,180 swap,Medium
Circular Seating Arrangement,5 friends in circle. X is to the left of Y who is to the left of Z. W is between X and V. Who is to right of Z?,Y,W,X,V,D,Order Z Y X W V,Medium
Circular Seating Arrangement,6 people facing outside. A is 2nd to right of B. C is immediate left of A. Who is opposite B?,A,C,D,Data insufficient,D,Outside facing switches left/right,Hard
Circular Seating Arrangement,A B C D E F in circle facing center. A is opposite D. B is between A and C. E is second to left of D. Who is opposite B?,C,F,A,E,D,Mapping,Hard
Circular Seating Arrangement,8 people in circle. A is 3rd to left of B. C is 2nd to right of B. D is opposite A. Who is between C and D?,H,G,F,Data insufficient,D,Need more links,Hard
Circular Seating Arrangement,In circle of 10 people how many are opposite to a person?,2,1,0,9,B,Only 1 diametrically opposite,Hard
Circular Seating Arrangement,If A is 1st B is 2nd ... in circle of 8. Who is opposite 3?,7,6,8,5,A,3 + 4 = 7,Hard
Statement & Conclusion,Statement: All politicians are liars. John is a politician. Conclusion: John is a liar.,None,True,False,Can't say,B,Direct application,Easy
Statement & Conclusion,Statement: Hard work leads to success. X is successful. Conclusion: X worked hard.,Can't say,True,False,None,A,Converse error (success can have other causes),Easy
Statement & Conclusion,Statement: If it rains the ground gets wet. Ground is wet. Conclusion: It rained.,None,True,False,Can't say,D,Other causes for wet ground,Easy
Statement & Conclusion,Statement: Only graduates can apply. X applied. Conclusion: X is a graduate.,Can't say,False,None,True,D,Necessary condition,Easy
Statement & Conclusion,Statement: Most students are smart. Peter is a student. Conclusion: Peter is smart.,False,Can't say,True,None,B,Most != All,Easy
Statement & Conclusion,Statement: Cigarette smoking is injurious to health. Conclusion: Non-smokers are healthy.,None,True,Can't say,False,C,Negation not necessarily true,Easy
Statement & Conclusion,Statement: The price of petrol has increased. Conclusion: People will stop using cars.,None,Can't say,True,False,D,Extreme conclusion,Medium
Statement & Conclusion,Statement: All films are boring. This is a film. Conclusion: This is boring.,None,Can't say,True,False,C,Direct syllogism,Medium
Statement & Conclusion,Statement: Team A won the match. Conclusion: Team A had better players.,True,Can't say,False,None,B,Luck or other factors possible,Medium
Statement & Conclusion,Statement: Regular exercise prevents diseases. Conclusion: Sick people don't exercise.,None,Can't say,True,False,B,Correlation logic,Medium
Statement & Conclusion,Statement: Many people enjoy music. Conclusion: Music makes people happy.,None,True,Can't say,False,C,Assumption not stated,Medium
Statement & Conclusion,Statement: All mangoes are golden. No golden thing is cheap. Conclusion: Mangoes are cheap.,None,False,Can't say,True,B,Mangoes are golden -> golden not cheap -> mangoes not cheap,Hard
Statement & Conclusion,Statement: If you are a good teacher you will be respected. Conclusion: All respected people are good teachers.,False,True,Can't say,None,A,Converse error,Hard
Statement & Conclusion,Statement: 90% students passed. Conclusion: 10% students failed.,False,None,Can't say,True,D,Logical complement,Hard
Statement & Conclusion,Statement: Only honest people are happy. John is happy. Conclusion: John is honest.,True,None,False,Can't say,A,Only A are B -> B is A,Hard
Logical Puzzles (Floor / Box / Scheduling),5 people on 5 floors. A is top. E is bottom. B is above C. D is below C. Who is on 4th floor?,D,A,B,C,C,Floor logic,Easy
Logical Puzzles (Floor / Box / Scheduling),7 boxes stacked. G is bottom. A is top. P is exactly in middle. Position of P?,2nd,5th,4th,3rd,C,(7+1)/2 = 4,Easy
Logical Puzzles (Floor / Box / Scheduling),4 people A B C D have meetings on Mon Tue Wed Thu. A is last. C is first. B is before D. When is B's meeting?,Mon,Thu,Wed,Tue,D,Scheduling logic,Easy
Logical Puzzles (Floor / Box / Scheduling),3 boxes Red Blue Green. Blue is not on top. Red is below Green. Which is on top?,Red,Blue,None,Green,D,Order: Green Red Blue or Green Blue Red,Easy
Logical Puzzles (Floor / Box / Scheduling),X Y Z sit in row. X is not left. Y is not right. Z is between X and Y. Order from left?,X Z Y,X Y Z,Y Z X,Z Y X,C,Constraint check,Easy
Logical Puzzles (Floor / Box / Scheduling),A works on Mon. B works on Fri. C works between them. How many days between A and B?,3,5,4,2,A,Tue Wed Thu = 3 days,Easy
Logical Puzzles (Floor / Box / Scheduling),8 people on 8 floors. Even floors have vowels. Odd floors have consonants. Where is A?,2 or 4 or 6 or 8,1 or 3 or 5 or 7,floor 1,floor 8,A,Definition check,Medium
Logical Puzzles (Floor / Box / Scheduling),Boxes A B C D E. A is heavier than B but lighter than C. D is lightest. E is heaviest. Order?,E C A B D,E A B C D,C A B D E,A B C D E,A,Weight ranking,Medium
Logical Puzzles (Floor / Box / Scheduling),Rooms 101 to 105. X is in 101. Y is in 105. Z is exactly between. Room of Z?,103,104,102,101,A,Midpoint,Medium
Logical Puzzles (Floor / Box / Scheduling),5 task sequence. P must be before Q. R must be after Q. S is first. T is last. Order?,S R P Q T,S Q P R T,S P Q R T,P Q R S T,C,Sequence constraints,Medium
Logical Puzzles (Floor / Box / Scheduling),Floor 1 to 5. A is above B. C is below D. E is in middle. A is on floor 5. Where is B?,floor 2,floor 4,floor 1,floor 3,B,A(5) E(3) B(4)? No B below A... 4 2 1,Medium
Logical Puzzles (Floor / Box / Scheduling),Stack of 10 books. Math is 3rd from top. Science is 3rd from bottom. How many between?,4,6,3,5,A,10 - (3+3) = 4,Hard
Logical Puzzles (Floor / Box / Scheduling),A B C D E on 5 floors. Only one between A and B. C is immediate above E. D is on top. Where is A if B is floor 2?,floor 1,floor 3,floor 4,floor 5,C,D(5) A(4) C(3) B(2) E(1)? Check: 1 between A(4) B(2) is C(3). Yes.,Hard
Logical Puzzles (Floor / Box / Scheduling),Workshops A B C D E on Mon to Fri. A is after C but before E. B is on Wed. D is on Mon. When is A?,Wed,Tue,Thu,Fri,C,D(Mon) C(Tue) B(Wed) A(Thu) E(Fri),Hard
Logical Puzzles (Floor / Box / Scheduling),7 boxes J K L M N O P. P is 3rd from top. M is 2nd from bottom. Only J between P and M. Position of J?,4th,3rd,5th,6th,A,Top: 1 2 P(3) J(4) M(5) 6 7? Wait 2nd from bottom is 6. P(3) J(4) 5 M(6) 7. So J is 4th or 5th?,A
Input – Output,Input: dog cat bat. Step 1: bat cat dog. Logic?,Reverse,Sort alphabetical,Random,Shift left,B,bat < cat < dog,Easy
Input – Output,Input: 10 20 30. Step 1: 30 20 10. Logic?,Ascending sort,Reverse,Descending sort,None,B,Reverse index,Easy
Input – Output,Input: A B C. Step 1: B C D. Logic?,Swap,Reverse,None,+1 Shift letter,D,Alphabet shift,Easy
Input – Output,Input: 5 4 3 2 1. Output: 1 2 3 4 5. Step count?,1,0,5,2,A,Direct sort/reverse,Easy
Input – Output,Input: RED BLUE GREEN. Step 1: BLUE GREEN RED. Logic?,Alphabetical sort,None,Length sort,Rotate left,A,B < G < R,Easy
Input – Output,Input: 1 3 5 7. Output: 2 4 6 8. Logic?,Multiply 2,Subtract 1,None,Add 1 to all,D,Element wise addition,Easy
Input – Output,Input: apple banana cherry. Step 1: a b c. Logic?,None,Last letter,First letter extraction,Reverse,C,Sub-string,Medium
Input – Output,Input: 12 45 23. Step 1: 3 9 5. Logic?,Reverse digits,Product of digits,Sum of digits,None,C,1+2=3 etc,Medium
Input – Output,Input: CAT. Step 1: ACT. Step 2: ATC. Step 3: TAC.,None,Alphabetical?,Swap first two -> swap last two -> swap outer? No,Anagram?,A,Complexity,Medium
Input – Output,"A machine shifts last word to first in each step. Input: ""I love AI"". Step 1?",AI I love,love I AI,AI love I,I AI love,A,Rotation,Medium
Input – Output,Input: 2 4 6 8. Step 1: 4 16 36 64. Logic?,Add 2,Square all,None,Double all,B,n^2,Medium
Input – Output,Input: Hello World. Step 1: olleH dlroW. Logic?,String reverse,Word-wise reverse,Swap words,None,B,Internal reverse,Hard
Input – Output,Input: 10 50 20 40 30. Goal: 10 20 30 40 50. Steps needed for bubble sort?,4,3,2,5,C,50 is moved back 3 times? 10 20 50 40 30 -> 10 20 40 50 30 -> 10 20 40 30 50 -> 10 20 30 40 50. 4 steps.,Hard
Input – Output,"Step 5 is ""1 2 3 4 5"". What is Step 3 if each step swaps adjacent items?",Many possibilities,3 2 1 4 5,1 2 3 5 4,Data insufficient,A,Trace back is hard,Hard
Input – Output,Input: dog 12 cat 45. Step 1: cat dog 12 45. Step 2: cat 12 dog 45. Step 3: cat 12 dog 45? No cat 12 45 dog.,Num then Word,Word then Num,Alphabetical word -> Ascending number,None,C,Mixed sorting,Hard
Critical Reasoning,Argument: Drinking water is good for skin. Therefore everyone should drink 5L. Weaken?,Water is expensive,None,Skin is only one organ,Excess water can be harmful,D,Highlight downside,Easy
Critical Reasoning,Assertion: Plants need sunlight. Reason: Sunlight provides energy for photosynthesis.,A is false R is true,A is true R is false,Both true but R is wrong,Both are true and R is correct explanation,D,Biological fact,Easy
Critical Reasoning,Conclusion: X is the best player. Premise: X scored 10 goals. Assumption?,Other players scored less,Goal count determines best player,X is part of a team,None,B,Link premise to conclusion,Easy
Critical Reasoning,Statement: Most students like math. Assumption: Peter likes math.,None,True,Can't say,False,C,Most != specific individual,Easy
Critical Reasoning,"Slogan: ""Our soap makes you fair."" Assumption?",Other soaps are bad,Soap is cheap,None,People want to be fair,D,Implicit desire target,Easy
Critical Reasoning,"Quote: ""I think therefore I am."" Inference?",Existence requires thought,None,Both,Thinking is proof of existence,D,Directional logic,Medium
Critical Reasoning,Argument: Plastic bags are bad for environment. Action: Ban plastic bags. Support?,Plastic is cheap,None,Plastic bags don't decompose,Plastic is reusable,C,Provides cause for ban,Medium
